"name","Type","Value","RefId","rule_refid","eval_refid","evalType","propname","propiid"
"NCCPI_B - Ksat Minimum within 150cm","null_not_rated","0","17697","22383","17697","Sigmoid","KSAT MINIMUM ABOVE RESTRICTIVE LAYER (0-150cm)","13533"
"NCCPI_B - Organic Matter in Profile","null_not_rated","0","17698","22383","17698","ArbitraryLinear","OC IN KG/M2, WHOLE PROFILE","13769"
"NCCPI_C - Log Ksat Minimum LEP 0 to 50cm <700 mm MAP","multiply","1","19663","26040","19663","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm <700 MM MAP ABOVE RESTR","16554"
"NCCPI_C - Log Ksat Minimum LEP 50 to 100cm <700 mm MAP","null_or","0","19664","26040","19664","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm <700 MM MAP ABOVE RESTR","16558"
"NCCPI_C - Log Ksat Minimum LEP 100 to 150cm <700 mm MAP","null_or","0","19665","26040","19665","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm <700 MM MAP ABOVE RESTR","16562"
"NCCPI_C - Log Ksat Minimum LEP 0 to 50cm 700-1000 mm MAP","multiply","1","19667","26041","19667","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm 700-1000 MM MAP ABOVE RESTR","16555"
"NCCPI_C - Log Ksat Minimum LEP 50 to 100cm 700-1000 mm MAP","null_or","0","19668","26041","19668","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm 700-1000 MM MAP ABOVE RESTR","16559"
"NCCPI_C - Log Ksat Minimum LEP 100 to 150cm 700-1000 mm MAP","null_or","0","19669","26041","19669","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm 700-1000 MM MAP ABOVE REST","16563"
"NCCPI_C - Log Ksat Minimum LEP 0 to 50cm 1000-1500 mm MAP","multiply","1","19671","26042","19671","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm 1000-1500 MM MAP ABOVE RESTR","16556"
"NCCPI_C - Log Ksat Minimum LEP 50 to 100cm 1000-1500 mm MAP","null_or","0","19672","26042","19672","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm 1000-1500 MM MAP ABOVE REST","16560"
"NCCPI_C - Log Ksat Minimum LEP 100 to 150cm 1000-1500 mm MAP","null_or","0","19673","26042","19673","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm 1000-1500 MM MAP ABOVE RES","16564"
"NCCPI_C - Log Ksat Minimum LEP 0 to 50cm >1500 mm MAP","multiply","1","19674","26043","19674","ArbitraryCurve","LOG KSAT MINIMUM LEP 0 TO 50cm >1500 MM MAP ABOVE RESTR","16557"
"NCCPI_C - Log Ksat Minimum LEP 50 to 100cm >1500 mm MAP","null_or","0","19675","26043","19675","ArbitraryCurve","LOG KSAT MINIMUM LEP 50 TO 100cm >1500 MM MAP ABOVE RESTR","16561"
"NCCPI_C - Log Ksat Minimum LEP 100 to 150cm >1500 mm MAP","null_or","0","19676","26043","19676","ArbitraryCurve","LOG KSAT MINIMUM LEP 100 TO 150cm >1500 MM MAP ABOVE RESTR","16565"
"NCCPI_B - LEP 0-150cm or Restriction, map >1500 (Cotton)","not_null_and","0","19651","26026","19651","ArbitraryCurve","LEP 0-150cm OR FIRST ROOT RESTRICTIVE LAYER, MAP>1500","16534"
"NCCPI_B - LEP 0-150cm or Restriction, map 1000-1500 (Cotton)","not_null_and","0","19650","26026","19650","ArbitraryCurve","LEP 0-150cm OR FIRST ROOT RESTRICTIVE LAYER, MAP 1000-1500","16533"
